state_name,deaths
Utah,2323
Maine,845
Texas,52096
Alaska,356
Kansas,5140
Nevada,5622
Oregon,2759
Alabama,11266
Arizona,17761
Florida,37265
Georgia,20481
Montana,1641
Vermont,256
Wyoming,725
Arkansas,5860
Colorado,6832
Delaware,1679
Illinois,25469
Kentucky,7203
Maryland,9683
Michigan,20764
Missouri,9803
Nebraska,2517
New York,52958
Oklahoma,7325
Virginia,11293
Minnesota,7596
Tennessee,12398
Wisconsin,8013
California,63576
New Jersey,26327
New Mexico,4299
Washington,5857
Connecticut,8261
Mississippi,7353
North Dakota,1551
Pennsylvania,27526
Rhode Island,2722
South Dakota,2026
Massachusetts,17939
New Hampshire,1360
West Virginia,2849
North Carolina,13287
South Carolina,9776
Louisiana,10648
Indiana,13745
Hawaii,503
Idaho,2119
Ohio,20091
Iowa,6099
